x	y
1.008	7.838e-14
1.098	8.317e-14
1.168	8.706e-14
1.242	9.031e-14
1.325	9.501e-14
1.400	9.807e-14
1.499	1.033e-13
1.646	1.116e-13
1.752	1.193e-13
1.863	1.248e-13
1.964	1.313e-13
2.105	1.443e-13
2.279	1.599e-13
2.454	1.771e-13
2.664	1.960e-13
2.863	2.129e-13
2.989	2.266e-13
3.489	2.132e-13
3.993	2.369e-13
4.498	2.938e-13
4.995	2.323e-13
5.484	1.917e-13
6.000	1.994e-13
6.489	2.055e-13
6.987	2.111e-13
7.496	2.053e-13
7.975	1.930e-13
8.495	1.676e-13
8.996	1.604e-13
9.483	1.946e-13
9.999	2.315e-13
10.458	2.690e-13
10.959	3.193e-13
11.458	3.552e-13
11.931	3.920e-13
12.480	4.120e-13
12.988	4.192e-13
13.464	4.024e-13
13.953	3.822e-13
14.426	3.408e-13
14.942	2.931e-13
15.408	2.626e-13
15.930	2.511e-13
